Hotel Name,Price Before Taxes,Score,Classification,Number of Reviews,Room Type,Bed Type,Neighborhood,District,Cancellation Policy,Payment Policy,Total Price,Date of search,Checkin,Checkout,ttt,los,Hotel Index
Hampton Inn Brooklyn/Downtown,161,9.0,Wonderful,1123,,,Downtown Brooklyn,Downtown Brooklyn,,,188,2024-06-24,2024-06-25,2024-06-26,1,1,1
Millennium Hotel Broadway Times Square,209,7.4,Good,5993,,,Theater District,Theater District,Fully refundable,Fully refundable,254,2024-06-24,2024-06-25,2024-06-26,1,1,2
Hotel 32 32,231,8.0,Very Good,1639,,,New York,New York,,,237,2024-06-24,2024-06-25,2024-06-26,1,1,3
"PUBLIC, an Ian Schrager hotel",259,8.2,Very Good,2612,,,New York,New York,Fully refundable,"Reserve now, pay later",347,2024-07-01,2024-07-02,2024-07-03,1,1,1
Hilton Garden Inn New York Times Square South,183,9.0,Wonderful,3133,,,New York,New York,,,213,2024-07-01,2024-07-02,2024-07-03,1,1,2
Hotel St. James,170,8.6,Excellent,4345,,,Theater District,Theater District,,,179,2024-07-01,2024-07-02,2024-07-03,1,1,3
Doubletree by Hilton New York Times Square South,195,8.8,Excellent,3706,,,New York,New York,,,227,2024-07-01,2024-07-02,2024-07-03,1,1,4
Pod Times Square,134,8.8,Excellent,4213,,,New York,New York,,,180,2024-07-01,2024-07-02,2024-07-03,1,1,5
"Club Quarters, Times Square - Midtown",184,8.6,Excellent,2624,,,Central New York City,Central New York City,,,243,2024-07-01,2024-07-02,2024-07-03,1,1,6
Hotel Stanford,189,8.6,Excellent,82,,,New York,New York,Fully refundable,,209,2024-07-01,2024-07-02,2024-07-03,1,1,7
Aura Hotel Times Square,189,8.4,Very Good,20,,,Theater District,Theater District,Fully refundable,"Reserve now, pay later",212,2024-07-01,2024-07-02,2024-07-03,1,1,8
Paramount Times Square,134,7.0,Good,2597,,,Theater District,Theater District,,,197,2024-07-01,2024-07-02,2024-07-03,1,1,9
Best Western Premier Empire State Hotel,166,9.0,Wonderful,674,,,New York,New York,,,194,2024-07-01,2024-07-02,2024-07-03,1,1,10
Moxy NYC Downtown,209,8.6,Excellent,1013,,,New York,New York,,,232,2024-07-01,2024-07-02,2024-07-03,1,1,11
AC Hotel by Marriott New York Downtown,179,9.2,Wonderful,1011,,,New York,New York,,,209,2024-07-01,2024-07-02,2024-07-03,1,1,12
"Holiday Inn New York City - Times Square, an IHG Hotel",182,8.2,Very Good,1438,,,New York,New York,,,212,2024-07-01,2024-07-02,2024-07-03,1,1,13
Courtyard New York Manhattan/Times Square West,269,9.0,Wonderful,1018,,,New York,New York,,,251,2024-07-01,2024-07-02,2024-07-03,1,1,14
Hyatt Place New York City/Times Square,219,8.0,Very Good,1507,,,New York,New York,Fully refundable,,230,2024-07-01,2024-07-02,2024-07-03,1,1,15
World Center Hotel,203,8.8,Excellent,2035,,,New York,New York,,,265,2024-07-01,2024-07-02,2024-07-03,1,1,16
Hilton Garden Inn New York/West 35th Street,212,9.0,Wonderful,2065,,,New York,New York,,,246,2024-07-01,2024-07-02,2024-07-03,1,1,17
"Club Quarters Hotel, Grand Central",207,8.6,Excellent,1967,,,New York,New York,,,270,2024-07-01,2024-07-02,2024-07-03,1,1,18
Hilton Garden Inn NYC Financial Center/Manhattan Downtown,172,8.8,Excellent,1613,,,New York,New York,,,201,2024-07-01,2024-07-02,2024-07-03,1,1,19
Fairfield Inn by Marriott New York Manhattan/Times Square,196,8.8,Excellent,1126,,,New York,New York,,,228,2024-07-01,2024-07-02,2024-07-03,1,1,20
citizenM New York Bowery,235,9.2,Wonderful,1145,,,New York,New York,,,233,2024-07-01,2024-07-02,2024-07-03,1,1,21
Hyatt Grand Central New York,269,8.0,Very Good,3659,,,New York,New York,Fully refundable,,312,2024-07-01,2024-07-02,2024-07-03,1,1,22
The New Yorker A Wyndham Hotel,179,8.2,Very Good,4617,,,New York,New York,Fully refundable,"Reserve now, pay later",242,2024-07-01,2024-07-02,2024-07-03,1,1,23
The Washington by LuxUrban,207,8.2,Very Good,1016,,,New York,New York,,,241,2024-07-01,2024-07-02,2024-07-03,1,1,24
Hotel 27 by LuxUrban,167,7.4,Good,428,,,New York,New York,,,190,2024-07-01,2024-07-02,2024-07-03,1,1,25
Hampton Inn Manhattan/Times Square Central,214,9.0,Wonderful,1644,,,Theater District,Theater District,Fully refundable,"Reserve now, pay later",249,2024-07-01,2024-07-02,2024-07-03,1,1,26
Hyatt Place New York/Chelsea,239,8.2,Very Good,1318,,,Chelsea,Chelsea,Fully refundable,,250,2024-07-01,2024-07-02,2024-07-03,1,1,27
DoubleTree by Hilton New York Times Square West,174,7.2,Good,1365,,,New York,New York,,,203,2024-07-01,2024-07-02,2024-07-03,1,1,28
Millennium Hotel Broadway Times Square,209,7.4,Good,5993,,,Theater District,Theater District,Fully refundable,"Reserve now, pay later",254,2024-07-01,2024-07-02,2024-07-03,1,1,29
citizenM New York Times Square,224,9.2,Wonderful,1077,,,Theater District,Theater District,Fully refundable,"Reserve now, pay later",261,2024-07-01,2024-07-02,2024-07-03,1,1,30
The Marlton Hotel,254,9.2,Wonderful,1008,,,Greenwich Village,Greenwich Village,Fully refundable,,260,2024-07-01,2024-07-02,2024-07-03,1,1,31
Best Western Plus Soho Hotel,173,9.2,Wonderful,145,,,New York,New York,,,202,2024-07-01,2024-07-02,2024-07-03,1,1,32
Four Points By Sheraton New York Downtown,161,8.0,Very Good,1565,,,New York,New York,,,188,2024-07-01,2024-07-02,2024-07-03,1,1,33
New York Hilton Midtown,210,8.0,Very Good,1916,,,Central New York City,Central New York City,,,285,2024-07-01,2024-07-02,2024-07-03,1,1,34
RIU Plaza Manhattan Times Square,353,9.0,Wonderful,3210,,,Theater District,Theater District,Fully refundable,"Reserve now, pay later",301,2024-07-01,2024-07-02,2024-07-03,1,1,35
Empire Hotel,229,7.6,Good,3648,,,New York,New York,,,263,2024-07-01,2024-07-02,2024-07-03,1,1,36
"Holiday Inn Manhattan 6th Ave - Chelsea, an IHG Hotel",152,7.4,Good,1011,,,Chelsea,Chelsea,,,178,2024-07-01,2024-07-02,2024-07-03,1,1,37
Hotel 32 32,231,8.0,Very Good,1639,,,New York,New York,,,237,2024-07-01,2024-07-02,2024-07-03,1,1,38
"Club Quarters Hotel, World Trade Center",203,8.6,Excellent,1404,,,New York,New York,,,265,2024-07-01,2024-07-02,2024-07-03,1,1,39
Hotel Boutique at Grand Central,207,8.6,Excellent,1058,,,New York,New York,,,270,2024-07-01,2024-07-02,2024-07-03,1,1,40
Hilton Garden Inn New York/Tribeca,211,8.4,Very Good,1011,,,New York,New York,,,245,2024-07-01,2024-07-02,2024-07-03,1,1,41
Ameritania Hotel at Times Square,212,8.6,Excellent,3086,,,Theater District,Theater District,,,257,2024-07-01,2024-07-02,2024-07-03,1,1,42
Pod 51,125,8.0,Very Good,1341,,,New York,New York,,,170,2024-07-01,2024-07-02,2024-07-03,1,1,43
Cambria Hotel New York - Chelsea,174,8.6,Excellent,1004,,,Chelsea,Chelsea,,,203,2024-07-01,2024-07-02,2024-07-03,1,1,44
Sheraton New York Times Square Hotel,220,7.8,Good,2259,,,Theater District,Theater District,,,286,2024-07-01,2024-07-02,2024-07-03,1,1,45
DoubleTree by Hilton New York Downtown,195,7.8,Good,1639,,,New York,New York,,,227,2024-07-01,2024-07-02,2024-07-03,1,1,46
Hotel Edison Times Square,179,8.0,Very Good,4298,,,Theater District,Theater District,Fully refundable,"Reserve now, pay later",255,2024-07-01,2024-07-02,2024-07-03,1,1,47
Mondrian Park Avenue,239,7.4,Good,1011,,,New York,New York,Fully refundable,,236,2024-07-01,2024-07-02,2024-07-03,1,1,48
Wingate by Wyndham New York Midtown South/5th Ave,192,8.6,Excellent,1002,,,New York,New York,,,224,2024-07-01,2024-07-02,2024-07-03,1,1,49
Park Terrace Hotel,278,9.4,Exceptional,1327,,,Central New York City,Central New York City,,,363,2024-07-01,2024-07-02,2024-07-03,1,1,50
The FIDI Hotel,199,8.8,Excellent,393,,,New York,New York,,,220,2024-07-01,2024-07-02,2024-07-03,1,1,51
"The Cloud One New York-Downtown, by the Motel One Group",209,8.8,Excellent,603,,,New York,New York,Fully refundable,,243,2024-07-01,2024-07-02,2024-07-03,1,1,52
The Gregorian,209,9.2,Wonderful,1219,,,New York,New York,,,248,2024-07-01,2024-07-02,2024-07-03,1,1,53
Hilton New York Fashion District,203,8.2,Very Good,1020,,,Chelsea,Chelsea,,,237,2024-07-01,2024-07-02,2024-07-03,1,1,54
Delta Hotels by Marriott New York Times Square,174,7.8,Good,519,,,New York,New York,,,205,2024-07-01,2024-07-02,2024-07-03,1,1,55
Element New York Times Square West,183,8.2,Very Good,1822,,,New York,New York,,,216,2024-07-01,2024-07-02,2024-07-03,1,1,56
Broadway Plaza Hotel,249,9.2,Wonderful,1527,,,New York,New York,,,272,2024-07-01,2024-07-02,2024-07-03,1,1,57
70 Park Avenue,175,9.0,Wonderful,1006,,,New York,New York,,,245,2024-07-01,2024-07-02,2024-07-03,1,1,58
Little Charlie Hotel,198,9.2,Wonderful,380,,,New York,New York,Fully refundable,"Reserve now, pay later",231,2024-07-01,2024-07-02,2024-07-03,1,1,59
New York Marriott Marquis,327,9.2,Wonderful,2782,,,Theater District,Theater District,,,425,2024-07-01,2024-07-02,2024-07-03,1,1,60
Fairfield Inn & Suites New York Manhattan / Central Park,198,8.4,Very Good,1001,,,New York,New York,,,231,2024-07-01,2024-07-02,2024-07-03,1,1,61
Omni Berkshire Place,236,9.2,Wonderful,1192,,,New York,New York,Fully refundable,,314,2024-07-01,2024-07-02,2024-07-03,1,1,62
Aliz Hotel Times Square,249,8.0,Very Good,1045,,,New York,New York,,,260,2024-07-01,2024-07-02,2024-07-03,1,1,63
"Hotel Indigo - NYC Downtown - Wall Street, an IHG Hotel",167,9.0,Wonderful,874,,,New York,New York,,,230,2024-07-01,2024-07-02,2024-07-03,1,1,64
Studios in New York,108,7.8,Good,126,,,New York,New York,,,229,2024-07-01,2024-07-02,2024-07-03,1,1,65
Chelsea Savoy Hotel,255,8.6,Excellent,1936,,,Chelsea,Chelsea,Fully refundable,"Reserve now, pay later",238,2024-07-01,2024-07-02,2024-07-03,1,1,66
Radio City Apartments,223,8.8,Excellent,3567,,,Theater District,Theater District,Fully refundable,,234,2024-07-01,2024-07-02,2024-07-03,1,1,67
Freehand New York,179,8.2,Very Good,1060,,,New York,New York,,,249,2024-07-01,2024-07-02,2024-07-03,1,1,68
"Crowne Plaza Times Square Manhattan, an IHG Hotel",224,8.2,Very Good,2104,,,Theater District,Theater District,,,303,2024-07-01,2024-07-02,2024-07-03,1,1,69
Madison LES Hotel,161,8.0,Very Good,711,,,New York,New York,,,211,2024-07-01,2024-07-02,2024-07-03,1,1,70
YOTEL New York Times Square,179,7.4,Good,2334,,,New York,New York,Fully refundable,"Reserve now, pay later",254,2024-07-01,2024-07-02,2024-07-03,1,1,71
The Lex NYC,169,8.4,Very Good,1005,,,New York,New York,,,196,2024-07-01,2024-07-02,2024-07-03,1,1,72
The Flat NYC,194,8.6,Excellent,279,,,New York,New York,,,181,2024-07-01,2024-07-02,2024-07-03,1,1,73
Doxie Hotel,125,7.2,Good,760,,,New York,New York,,,147,2024-07-01,2024-07-02,2024-07-03,1,1,74
"Staypineapple, An Artful Hotel, Midtown",208,9.2,Wonderful,1013,,,New York,New York,Fully refundable,,236,2024-07-01,2024-07-02,2024-07-03,1,1,75
Pod 39,179,8.8,Excellent,1516,,,New York,New York,,,232,2024-07-01,2024-07-02,2024-07-03,1,1,76
Hyatt Centric Wall Street New York,189,8.8,Excellent,1010,,,New York,New York,Fully refundable,,237,2024-07-01,2024-07-02,2024-07-03,1,1,77
JG Sohotel,196,8.4,Very Good,230,,,SoHo,SoHo,Fully refundable,,250,2024-07-01,2024-07-02,2024-07-03,1,1,78
DoubleTree by Hilton Hotel New York City - Chelsea,207,7.8,Good,1020,,,Chelsea,Chelsea,,,241,2024-07-01,2024-07-02,2024-07-03,1,1,79
Sheraton Tribeca New York Hotel,219,8.4,Very Good,1009,,,New York,New York,Fully refundable,"Reserve now, pay later",255,2024-07-01,2024-07-02,2024-07-03,1,1,80
Hilton Garden Inn New York/Times Square Central,195,8.2,Very Good,1863,,,Theater District,Theater District,,,257,2024-07-01,2024-07-02,2024-07-03,1,1,81
"The Jewel Hotel, New York",277,9.2,Wonderful,2053,,,Central New York City,Central New York City,,,350,2024-07-01,2024-07-02,2024-07-03,1,1,82
Millennium Downtown New York,239,7.4,Good,2354,,,New York,New York,,,290,2024-07-01,2024-07-02,2024-07-03,1,1,83
Untitled at 3 Freeman Alley,225,9.2,Wonderful,250,,,New York,New York,Fully refundable,,259,2024-07-01,2024-07-02,2024-07-03,1,1,84
Chelsea Inn,157,7.8,Good,1011,,,New York,New York,,,206,2024-07-01,2024-07-02,2024-07-03,1,1,85
Four Points by Sheraton Midtown-Times Square,206,8.8,Excellent,1316,,,New York,New York,,,240,2024-07-01,2024-07-02,2024-07-03,1,1,86
Soho 54,159,7.2,Good,1051,,,New York,New York,Fully refundable,,215,2024-07-01,2024-07-02,2024-07-03,1,1,87
Pestana CR7 Times Square,161,8.8,Excellent,671,,,New York,New York,Fully refundable,"Reserve now, pay later",216,2024-07-01,2024-07-02,2024-07-03,1,1,88
Courtyard by Marriott New York Downtown Manhattan/Financial District,175,7.8,Good,845,,,New York,New York,,,204,2024-07-01,2024-07-02,2024-07-03,1,1,89
Hilton Garden Inn New York/Midtown Park Ave,238,8.4,Very Good,1010,,,New York,New York,Fully refundable,"Reserve now, pay later",277,2024-07-01,2024-07-02,2024-07-03,1,1,90
Citadines Connect Fifth Avenue New York,224,8.0,Very Good,1054,,,Central New York City,Central New York City,,,260,2024-07-01,2024-07-02,2024-07-03,1,1,91
Courtyard by Marriott New York World Trade Center Area,206,8.8,Excellent,541,,,New York,New York,,,240,2024-07-01,2024-07-02,2024-07-03,1,1,92
"voco The Franklin New York, an IHG Hotel",190,9.2,Wonderful,538,,,New York,New York,,,233,2024-07-01,2024-07-02,2024-07-03,1,1,93
Motto By Hilton New York City Times Square,161,9.0,Wonderful,845,,,Theater District,Theater District,,,223,2024-07-01,2024-07-02,2024-07-03,1,1,94
"Holiday Inn Express - New York City Chelsea, an IHG Hotel",178,8.0,Very Good,1006,,,Chelsea,Chelsea,,,230,2024-07-01,2024-07-02,2024-07-03,1,1,95
Walker Hotel Tribeca,174,8.6,Excellent,627,,,New York,New York,,,238,2024-07-01,2024-07-02,2024-07-03,1,1,96
The Gotham Hotel,249,8.6,Excellent,1004,,,New York,New York,,,260,2024-07-01,2024-07-02,2024-07-03,1,1,97
