Hotel Name,Price Before Taxes,Score,Classification,Number of Reviews,Room Type,Bed Type,Neighborhood,District,Cancellation Policy,Payment Policy,Total Price,Date of search,Checkin,Checkout,ttt,los,Hotel Index
Courtyard by Marriott New York Manhattan/Times Square,224,8.6,Excellent,1010,,,New York,New York,,,261,2024-07-01,2024-07-02,2024-07-03,1,1,98
Arlo NoMad,269,8.4,Very Good,1325,,,New York,New York,,,311,2024-07-01,2024-07-02,2024-07-03,1,1,99
Hilton Garden Inn New York Times Square North,220,8.6,Excellent,2099,,,Central New York City,Central New York City,,,256,2024-07-01,2024-07-02,2024-07-03,1,1,100
Hampton Inn Brooklyn/Downtown,161,9.0,Wonderful,1123,,,Downtown Brooklyn,Downtown Brooklyn,,,188,2024-07-08,2024-07-09,2024-07-10,1,1,1
Millennium Hotel Broadway Times Square,209,7.4,Good,5993,,,Theater District,Theater District,Fully refundable,Fully refundable,254,2024-07-08,2024-07-09,2024-07-10,1,1,2
Hotel 32 32,231,8.0,Very Good,1639,,,New York,New York,,,237,2024-07-08,2024-07-09,2024-07-10,1,1,3
"PUBLIC, an Ian Schrager hotel",259,8.2,Very Good,2612,,,New York,New York,Fully refundable,"Reserve now, pay later",347,2024-07-08,2024-07-09,2024-07-10,1,1,4
Hilton Garden Inn New York Times Square South,183,9.0,Wonderful,3133,,,New York,New York,,,213,2024-07-08,2024-07-09,2024-07-10,1,1,5
Hotel St. James,170,8.6,Excellent,4345,,,Theater District,Theater District,,,179,2024-07-08,2024-07-09,2024-07-10,1,1,6
Doubletree by Hilton New York Times Square South,195,8.8,Excellent,3706,,,New York,New York,,,227,2024-07-08,2024-07-09,2024-07-10,1,1,7
Pod Times Square,134,8.8,Excellent,4213,,,New York,New York,,,180,2024-07-08,2024-07-09,2024-07-10,1,1,8
Sonder The Dutch,308,8.8,Excellent,71,,,Queens,Queens,Fully refundable,Fully refundable,348,2024-07-08,2024-07-09,2024-07-10,1,1,9
"Club Quarters, Times Square - Midtown",184,8.6,Excellent,2624,,,Central New York City,Central New York City,,,243,2024-07-08,2024-07-09,2024-07-10,1,1,10
Hotel Stanford,189,8.6,Excellent,82,,,New York,New York,Fully refundable,,209,2024-07-08,2024-07-09,2024-07-10,1,1,11
Aura Hotel Times Square,189,8.4,Very Good,20,,,Theater District,Theater District,Fully refundable,"Reserve now, pay later",212,2024-07-08,2024-07-09,2024-07-10,1,1,12
Courtyard by Marriott New York City Manhattan Fifth Avenue,246,8.4,Very Good,1000,,,New York,New York,,,286,2024-07-08,2024-07-09,2024-07-10,1,1,13
Paramount Times Square,134,7.0,Good,2597,,,Theater District,Theater District,,,197,2024-07-08,2024-07-09,2024-07-10,1,1,14
Best Western Premier Empire State Hotel,166,9.0,Wonderful,674,,,New York,New York,,,194,2024-07-08,2024-07-09,2024-07-10,1,1,15
Moxy NYC Downtown,209,8.6,Excellent,1013,,,New York,New York,,,232,2024-07-08,2024-07-09,2024-07-10,1,1,16
AC Hotel by Marriott New York Downtown,179,9.2,Wonderful,1011,,,New York,New York,,,209,2024-07-08,2024-07-09,2024-07-10,1,1,17
"Holiday Inn New York City - Times Square, an IHG Hotel",182,8.2,Very Good,1438,,,New York,New York,,,212,2024-07-08,2024-07-09,2024-07-10,1,1,18
Courtyard New York Manhattan/Times Square West,269,9.0,Wonderful,1018,,,New York,New York,,,251,2024-07-08,2024-07-09,2024-07-10,1,1,19
Hyatt Place New York City/Times Square,219,8.0,Very Good,1507,,,New York,New York,Fully refundable,,230,2024-07-08,2024-07-09,2024-07-10,1,1,20
World Center Hotel,203,8.8,Excellent,2035,,,New York,New York,,,265,2024-07-08,2024-07-09,2024-07-10,1,1,21
Hilton Garden Inn New York/West 35th Street,212,9.0,Wonderful,2065,,,New York,New York,,,246,2024-07-08,2024-07-09,2024-07-10,1,1,22
"Club Quarters Hotel, Grand Central",207,8.6,Excellent,1967,,,New York,New York,,,270,2024-07-08,2024-07-09,2024-07-10,1,1,23
Hilton Garden Inn NYC Financial Center/Manhattan Downtown,172,8.8,Excellent,1613,,,New York,New York,,,201,2024-07-08,2024-07-09,2024-07-10,1,1,24
Fairfield Inn by Marriott New York Manhattan/Times Square,196,8.8,Excellent,1126,,,New York,New York,,,228,2024-07-08,2024-07-09,2024-07-10,1,1,25
citizenM New York Bowery,235,9.2,Wonderful,1145,,,New York,New York,,,233,2024-07-08,2024-07-09,2024-07-10,1,1,26
Hyatt Grand Central New York,269,8.0,Very Good,3659,,,New York,New York,Fully refundable,,312,2024-07-08,2024-07-09,2024-07-10,1,1,27
The New Yorker A Wyndham Hotel,179,8.2,Very Good,4617,,,New York,New York,Fully refundable,"Reserve now, pay later",242,2024-07-08,2024-07-09,2024-07-10,1,1,28
The Washington by LuxUrban,207,8.2,Very Good,1016,,,New York,New York,,,241,2024-07-08,2024-07-09,2024-07-10,1,1,29
Hilton New York Times Square,232,8.2,Very Good,1411,,,Theater District,Theater District,,,309,2024-07-08,2024-07-09,2024-07-10,1,1,30
Virgin Hotels New York City,325,9.0,Wonderful,1434,,,New York,New York,Fully refundable,Fully refundable,404,2024-07-08,2024-07-09,2024-07-10,1,1,31
Soho 54,159,7.2,Good,1051,,,New York,New York,Fully refundable,,215,2024-07-08,2024-07-09,2024-07-10,1,1,32
Hampton Inn Manhattan/Times Square Central,214,9.0,Wonderful,1644,,,Theater District,Theater District,Fully refundable,"Reserve now, pay later",249,2024-07-08,2024-07-09,2024-07-10,1,1,33
Hyatt Place New York/Chelsea,239,8.2,Very Good,1318,,,Chelsea,Chelsea,Fully refundable,,250,2024-07-08,2024-07-09,2024-07-10,1,1,34
DoubleTree by Hilton New York Times Square West,174,7.2,Good,1365,,,New York,New York,,,203,2024-07-08,2024-07-09,2024-07-10,1,1,35
Millennium Hotel Broadway Times Square,209,7.4,Good,5993,,,Theater District,Theater District,Fully refundable,"Reserve now, pay later",254,2024-07-08,2024-07-09,2024-07-10,1,1,36
citizenM New York Times Square,224,9.2,Wonderful,1077,,,Theater District,Theater District,Fully refundable,"Reserve now, pay later",261,2024-07-08,2024-07-09,2024-07-10,1,1,37
The Marlton Hotel,254,9.2,Wonderful,1008,,,Greenwich Village,Greenwich Village,Fully refundable,,260,2024-07-08,2024-07-09,2024-07-10,1,1,38
Best Western Plus Soho Hotel,173,9.2,Wonderful,145,,,New York,New York,,,202,2024-07-08,2024-07-09,2024-07-10,1,1,39
Four Points By Sheraton New York Downtown,161,8.0,Very Good,1565,,,New York,New York,,,188,2024-07-08,2024-07-09,2024-07-10,1,1,40
New York Hilton Midtown,210,8.0,Very Good,1916,,,Central New York City,Central New York City,,,285,2024-07-08,2024-07-09,2024-07-10,1,1,41
RIU Plaza Manhattan Times Square,353,9.0,Wonderful,3210,,,Theater District,Theater District,Fully refundable,"Reserve now, pay later",301,2024-07-08,2024-07-09,2024-07-10,1,1,42
Empire Hotel,229,7.6,Good,3648,,,New York,New York,,,263,2024-07-08,2024-07-09,2024-07-10,1,1,43
"Holiday Inn Manhattan 6th Ave - Chelsea, an IHG Hotel",152,7.4,Good,1011,,,Chelsea,Chelsea,,,178,2024-07-08,2024-07-09,2024-07-10,1,1,44
Hotel 32 32,231,8.0,Very Good,1639,,,New York,New York,,,237,2024-07-08,2024-07-09,2024-07-10,1,1,45
"Club Quarters Hotel, World Trade Center",203,8.6,Excellent,1404,,,New York,New York,,,265,2024-07-08,2024-07-09,2024-07-10,1,1,46
Hotel Boutique at Grand Central,207,8.6,Excellent,1058,,,New York,New York,,,270,2024-07-08,2024-07-09,2024-07-10,1,1,47
Hilton Garden Inn New York/Tribeca,211,8.4,Very Good,1011,,,New York,New York,,,245,2024-07-08,2024-07-09,2024-07-10,1,1,48
Archer Hotel New York,278,9.2,Wonderful,1010,,,Central New York City,Central New York City,,,323,2024-07-08,2024-07-09,2024-07-10,1,1,49
Courtyard by Marriott New York Manhattan/Times Square,224,8.6,Excellent,1010,,,New York,New York,,,261,2024-07-08,2024-07-09,2024-07-10,1,1,50
Ameritania Hotel at Times Square,212,8.6,Excellent,3086,,,Theater District,Theater District,,,257,2024-07-08,2024-07-09,2024-07-10,1,1,51
Pod 51,125,8.0,Very Good,1341,,,New York,New York,,,170,2024-07-08,2024-07-09,2024-07-10,1,1,52
Cambria Hotel New York - Chelsea,174,8.6,Excellent,1004,,,Chelsea,Chelsea,,,203,2024-07-08,2024-07-09,2024-07-10,1,1,53
Sheraton New York Times Square Hotel,220,7.8,Good,2259,,,Theater District,Theater District,,,286,2024-07-08,2024-07-09,2024-07-10,1,1,54
DoubleTree by Hilton New York Downtown,195,7.8,Good,1640,,,New York,New York,,,227,2024-07-08,2024-07-09,2024-07-10,1,1,55
Hotel Edison Times Square,179,8.0,Very Good,4298,,,Theater District,Theater District,Fully refundable,"Reserve now, pay later",255,2024-07-08,2024-07-09,2024-07-10,1,1,56
Mondrian Park Avenue,239,7.4,Good,1011,,,New York,New York,Fully refundable,,236,2024-07-08,2024-07-09,2024-07-10,1,1,57
Hampton Inn New York Times Square,209,8.2,Very Good,1141,,,Theater District,Theater District,Fully refundable,Fully refundable,243,2024-07-08,2024-07-09,2024-07-10,1,1,58
"Even Hotel New York - Times Square South, an IHG Hotel",224,9.2,Wonderful,1008,,,New York,New York,,,286,2024-07-08,2024-07-09,2024-07-10,1,1,59
Wingate by Wyndham New York Midtown South/5th Ave,192,8.6,Excellent,1002,,,New York,New York,,,224,2024-07-08,2024-07-09,2024-07-10,1,1,60
Park Terrace Hotel,278,9.4,Exceptional,1327,,,Central New York City,Central New York City,,,363,2024-07-08,2024-07-09,2024-07-10,1,1,61
The FIDI Hotel,199,8.8,Excellent,393,,,New York,New York,,,220,2024-07-08,2024-07-09,2024-07-10,1,1,62
"The Cloud One New York-Downtown, by the Motel One Group",209,8.8,Excellent,603,,,New York,New York,Fully refundable,,243,2024-07-08,2024-07-09,2024-07-10,1,1,63
The Gregorian,209,9.2,Wonderful,1219,,,New York,New York,,,248,2024-07-08,2024-07-09,2024-07-10,1,1,64
Hilton New York Fashion District,203,8.2,Very Good,1020,,,Chelsea,Chelsea,,,237,2024-07-08,2024-07-09,2024-07-10,1,1,65
Delta Hotels by Marriott New York Times Square,174,7.8,Good,519,,,New York,New York,,,205,2024-07-08,2024-07-09,2024-07-10,1,1,66
Element New York Times Square West,183,8.2,Very Good,1822,,,New York,New York,,,216,2024-07-08,2024-07-09,2024-07-10,1,1,67
Broadway Plaza Hotel,249,9.2,Wonderful,1527,,,New York,New York,,,272,2024-07-08,2024-07-09,2024-07-10,1,1,68
70 Park Avenue,175,9.0,Wonderful,1006,,,New York,New York,,,245,2024-07-08,2024-07-09,2024-07-10,1,1,69
Little Charlie Hotel,198,9.2,Wonderful,380,,,New York,New York,Fully refundable,"Reserve now, pay later",231,2024-07-08,2024-07-09,2024-07-10,1,1,70
New York Marriott Marquis,327,9.2,Wonderful,2782,,,Theater District,Theater District,,,425,2024-07-08,2024-07-09,2024-07-10,1,1,71
Fairfield Inn & Suites New York Manhattan / Central Park,198,8.4,Very Good,1001,,,New York,New York,,,231,2024-07-08,2024-07-09,2024-07-10,1,1,72
Omni Berkshire Place,236,9.2,Wonderful,1192,,,New York,New York,Fully refundable,,314,2024-07-08,2024-07-09,2024-07-10,1,1,73
Aliz Hotel Times Square,249,8.0,Very Good,1045,,,New York,New York,,,260,2024-07-08,2024-07-09,2024-07-10,1,1,74
"Hotel Indigo - NYC Downtown - Wall Street, an IHG Hotel",167,9.0,Wonderful,874,,,New York,New York,,,230,2024-07-08,2024-07-09,2024-07-10,1,1,75
Studios in New York,108,7.8,Good,126,,,New York,New York,,,229,2024-07-08,2024-07-09,2024-07-10,1,1,76
Hotel 27 by LuxUrban,167,7.4,Good,428,,,New York,New York,,,190,2024-07-08,2024-07-09,2024-07-10,1,1,77
Chelsea Savoy Hotel,255,8.6,Excellent,1936,,,Chelsea,Chelsea,Fully refundable,"Reserve now, pay later",238,2024-07-08,2024-07-09,2024-07-10,1,1,78
Radio City Apartments,223,8.8,Excellent,3567,,,Theater District,Theater District,Fully refundable,,234,2024-07-08,2024-07-09,2024-07-10,1,1,79
Freehand New York,179,8.2,Very Good,1060,,,New York,New York,,,249,2024-07-08,2024-07-09,2024-07-10,1,1,80
"Crowne Plaza Times Square Manhattan, an IHG Hotel",224,8.2,Very Good,2104,,,Theater District,Theater District,,,303,2024-07-08,2024-07-09,2024-07-10,1,1,81
Madison LES Hotel,161,8.0,Very Good,711,,,New York,New York,,,211,2024-07-08,2024-07-09,2024-07-10,1,1,82
YOTEL New York Times Square,179,7.4,Good,2334,,,New York,New York,Fully refundable,"Reserve now, pay later",254,2024-07-08,2024-07-09,2024-07-10,1,1,83
The Lex NYC,169,8.4,Very Good,1005,,,New York,New York,,,196,2024-07-08,2024-07-09,2024-07-10,1,1,84
The Flat NYC,194,8.6,Excellent,279,,,New York,New York,,,181,2024-07-08,2024-07-09,2024-07-10,1,1,85
Doxie Hotel,125,7.2,Good,760,,,New York,New York,,,147,2024-07-08,2024-07-09,2024-07-10,1,1,86
"Staypineapple, An Artful Hotel, Midtown",208,9.2,Wonderful,1013,,,New York,New York,Fully refundable,,236,2024-07-08,2024-07-09,2024-07-10,1,1,87
Pod 39,179,8.8,Excellent,1516,,,New York,New York,,,232,2024-07-08,2024-07-09,2024-07-10,1,1,88
"Martinique New York on Broadway, Curio Collection by Hilton",254,8.8,Excellent,1152,,,New York,New York,,,341,2024-07-08,2024-07-09,2024-07-10,1,1,89
Home2 Suites By Hilton New York Times Square,220,8.4,Very Good,727,,,Theater District,Theater District,Fully refundable,Fully refundable,263,2024-07-08,2024-07-09,2024-07-10,1,1,90
Hyatt Centric Wall Street New York,189,8.8,Excellent,1010,,,New York,New York,Fully refundable,,237,2024-07-08,2024-07-09,2024-07-10,1,1,91
JG Sohotel,196,8.4,Very Good,230,,,SoHo,SoHo,Fully refundable,,250,2024-07-08,2024-07-09,2024-07-10,1,1,92
DoubleTree by Hilton Hotel New York City - Chelsea,207,7.8,Good,1020,,,Chelsea,Chelsea,,,241,2024-07-08,2024-07-09,2024-07-10,1,1,93
Sheraton Tribeca New York Hotel,219,8.4,Very Good,1009,,,New York,New York,Fully refundable,"Reserve now, pay later",255,2024-07-08,2024-07-09,2024-07-10,1,1,94
Hilton Garden Inn New York/Times Square Central,195,8.2,Very Good,1863,,,Theater District,Theater District,,,257,2024-07-08,2024-07-09,2024-07-10,1,1,95
"The Jewel Hotel, New York",277,9.2,Wonderful,2053,,,Central New York City,Central New York City,,,350,2024-07-08,2024-07-09,2024-07-10,1,1,96
Millennium Downtown New York,239,7.4,Good,2354,,,New York,New York,,,290,2024-07-08,2024-07-09,2024-07-10,1,1,97
Untitled at 3 Freeman Alley,225,9.2,Wonderful,250,,,New York,New York,Fully refundable,,259,2024-07-08,2024-07-09,2024-07-10,1,1,98
Chelsea Inn,157,7.8,Good,1011,,,New York,New York,,,206,2024-07-08,2024-07-09,2024-07-10,1,1,99
Four Points by Sheraton Midtown-Times Square,206,8.8,Excellent,1316,,,New York,New York,,,240,2024-07-08,2024-07-09,2024-07-10,1,1,100
